This list contains all games supported by FB Alpha.

5812 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| ddungeon	| D NW	| "ddungeon"						| 		| 1992	| Miscellaneous	| 		| Game Room				|
| drgw3		| D NW	| "drgw3"						| 		| 1998	| PolyGameMaster| 		| IGS					|
| dsoccr94	|   NW	| "dsoccr94"						| 		| 1994	| M107		| 		| Irem (Data East Corporation license)	|
| dwex		| D NW	| "dwex"						| 		| 1998	| PolyGameMaster| 		| IGS					|
| funcube2	| D NW	| "funcube2"						| 		| 2001	| Newer Seta	| 		| Namco					|
| funcube4	| D NW	| "funcube4"						| 		| 2001	| Newer Seta	| 		| Namco					|
| happy6	| D NW	| "happy6"						| 		| 2004	| PolyGameMaster| 		| IGS					|
| jockeyc	| D NW	| "jockeyc"						| 		| 1990	| Seta		| 		| [Seta] (Visco license)		|
| kengo		| D NW	| "kengo"						| 		| 1991	| M84?		| 		| Irem					|
| kiwame	| D NW	| "kiwame"						| 		| 1994	| Seta		| 		| Athena				|
| monsterz	| D NW	| "monsterz"						| 		| 19??	| Galaxian	| 		| Nihon					|
| mwalk		|   NW	| "mwalk"						| 		| 1990	| System 18	| 		| Sega					|
| nbbatman	| D NW	| "nbbatman"						| 		| 1993	| M92		| 		| Irem					|
| pce_benkei	| D NW	| "pce_benkei"						| 		| 1989	| PC Engine	| 		| Sunsoft				|
| pce_cdsys	| D NW	| "pce_cdsys"						| 		| 19??	| PC Engine	| 		| Hudson				|
| pce_gecd	| D NW	| "pce_gecd"						| 		| 19??	| PC Engine	| 		| Games Express				|
| pce_nikopun	| D NW	| "pce_nikopun"						| 		| 1991	| PC Engine	| 		| NHK Enterprise			|
| pce_pcdenj	| D NW	| "pce_pcdenj"						| 		| 1992	| PC Engine	| 		| Hudson				|
| pce_ptennis	| D NW	| "pce_ptennis"						| 		| 1993	| PC Engine	| 		| Hudson				|
| pce_scdsys	| D NW	| "pce_scdsys"						| 		| 19??	| PC Engine	| 		| Hudson				|
| pce_tennokoe	| D NW	| "pce_tennokoe"					| 		| 1991	| PC Engine	| 		| Hudson				|
| pce_xserd	| D NW	| "pce_xserd"						| 		| 1990	| PC Engine	| 		| Masiya				|
| puzzli2	| D NW	| "puzzli2"						| 		| 2001	| PolyGameMaster| 		| IGS					|
| tg_airzonk	| D NW	| "tg_airzonk"						| 		| 1992	| TurboGrafx 16	| 		| Hudson Soft				|
| tg_cdsys	| D NW	| "tg_cdsys"						| 		| 19??	| TurboGrafx 16	| 		| NEC					|
| tg_scdsys	| D NW	| "tg_scdsys"						| 		| 19??	| TurboGrafx 16	| 		| NEC					|
| victnine	| D NW	| "victnine"						| 		| 1984	| Miscellaneous	| 		| Taito					|
| 88games	|  	| '88 Games						| 		| 1988	| Konami	| GX861		| 					|
| 99lstwar	|  	| '99: The Last War					| repulse	| 1985	| Proma		| Kyugo		| 					|
| 99lstwara	|  	| '99: The Last War (alternate)				| repulse	| 1985	| Proma		| Kyugo		| 					|
| 99lstwark	|  	| '99: The Last War (Kyugo)				| repulse	| 1985	| Kyugo		| Kyugo		| 					|
| md_007shitou	|  	| 007 Shitou - The Duel (Jpn)				| md_jb007	| 1993	| Tengen	| Sega Megadrive| 					|
| gtmra		|  	| 1000 Miglia: Great 1000 Miles Rally (94/06/13)	| gtmr		| 1994	| Kaneko	| Kaneko16	| 					|
| gtmr		|  	| 1000 Miglia: Great 1000 Miles Rally (94/07/18)	| 		| 1994	| Kaneko	| Kaneko16	| 					|
| md_12in1	|  	| 12 in 1						| 		| 199?	| <unlicensed>	| Sega Megadrive| 					|
| md_13mahjan	|  	| 13 Ma Jiang - 98 Mei Shao Nu Pian (Chi)		| 		| 1998	| BBD		| Sega Megadrive| 					|
| md_16tongnk	|  	| 16 Ton (Jpn, Game no Kandume MegaCD Rip)		| md_16ton	| 1991	| Sega		| Sega Megadrive| 					|
| md_16ton	|  	| 16 Ton (Jpn, SegaNet)					| 		| 1991	| Sega		| Sega Megadrive| 					|
| md_16zhan	|  	| 16 Zhang Ma Jiang (Chi)				| 		| 199?	| <unlicensed>	| Sega Megadrive| 					|
| sgx_1941	|  	| 1941 - Counter Attack					| 		| 1991	| Hudson	| SuperGrafx	| 					|
| 1941u		|  	| 1941 - Counter Attack (900227 USA)			| 1941		| 1990	| Capcom	| CPS1		| 					|
| 1941		|  	| 1941 - Counter Attack (900227 World)			| 		| 1990	| Capcom	| CPS1		| 					|
| 1941j		|  	| 1941 - Counter Attack (Japan)				| 1941		| 1990	| Capcom	| CPS1		| 					|
| 1941r1	|  	| 1941 - Counter Attack (World)				| 1941		| 1990	| Capcom	| CPS1		| 					|
| 1942b		|  	| 1942 (First Version)					| 1942		| 1984	| Capcom	| Miscellaneous	| 					|
| 1942a		|  	| 1942 (Revision A)					| 1942		| 1984	| Capcom	| Miscellaneous	| 					|
| 1942abl	|  	| 1942 (Revision A, bootleg)				| 1942		| 1984	| Capcom	| Miscellaneous	| 					|
| 1942		|  	| 1942 (Revision B)					| 		| 1984	| Capcom	| Miscellaneous	| 					|
| 1942w		|  	| 1942 (Williams Electronics license)			| 1942		| 1985	| Capcom (Willia| Miscellaneous	| 					|
| pce_1943kai	|  	| 1943 Kai						| 		| 1991	| Naxat		| PC Engine	| 					|
| 1943kai	|  	| 1943 Kai: Midway Kaisen (Japan)			| 		| 1987	| Capcom	| Miscellaneous	| 					|
| 1943ja	|  	| 1943: Midway Kaisen (Japan)				| 1943		| 1987	| Capcom	| Miscellaneous	| 					|
| 1943j		|  	| 1943: Midway Kaisen (Japan, Rev B)			| 1943		| 1987	| Capcom	| Miscellaneous	| 					|
| 1943b		|  	| 1943: The Battle of Midway (bootleg set 1, hack of Jap| 1943		| 1987	| Capcom	| Miscellaneous	| 					|
| 1943b2	|  	| 1943: The Battle of Midway (bootleg set 2, hack of Jap| 1943		| 1987	| Capcom	| Miscellaneous	| 					|
| 1943		|  	| 1943: The Battle of Midway (Euro)			| 		| 1987	| Capcom	| Miscellaneous	| 					|
| 1943u		|  	| 1943: The Battle of Midway (US)			| 1943		| 1987	| Capcom	| Miscellaneous	| 					|
| 1944j		|  	| 1944 - the loop master (000620 Japan)			| 1944		| 2000	| Capcom / 8ing | CPS2		| 					|
| 1944d		|  	| 1944 - the loop master (000620 USA Phoenix Edition)	| 1944		| 2000	| bootleg	| CPS2		| 					|
| 1944		|  	| 1944 - the loop master (000620 USA)			| 		| 2000	| Capcom / 8ing | CPS2		| 					|
| bgareggabl	|  	| 1945 Part 2 (Battle Garaga hack)			| bgaregga	| 1996	| hack		| Toaplan GP9001| 					|
| 1945kiii	|  	| 1945k III						| 		| 2000	| Oriental	| Miscellaneous	| 					|
| 19xxa		|  	| 19XX - the war against destiny (951207 Asia)		| 19xx		| 1995	| Capcom	| CPS2		| 					|
| 19xxjr1	|  	| 19XX - the war against destiny (951207 Japan)		| 19xx		| 1995	| Capcom	| CPS2		| 					|
| 19xxd		|  	| 19XX - the war against destiny (951207 USA Phoenix Edi| 19xx		| 1995	| bootleg	| CPS2		| 					|
| 19xx		|  	| 19XX - the war against destiny (951207 USA)		| 		| 1995	| Capcom	| CPS2		| 					|
| 19xxb		|  	| 19XX - the war against destiny (951218 Brazil)	| 19xx		| 1995	| Capcom	| CPS2		| 					|
| 19xxh		|  	| 19XX - the war against destiny (951218 Hispanic)	| 19xx		| 1995	| Capcom	| CPS2		| 					|
| 19xxj		|  	| 19XX - the war against destiny (951225 Japan)		| 19xx		| 1995	| Capcom	| CPS2		| 					|
| 2020bb	|  	| 2020 Super Baseball (set 1)				| 		| 1991	| SNK / Pallas	| Neo Geo MVS	| 					|
| 2020bba	|  	| 2020 Super Baseball (set 2)				| 2020bb	| 1991	| SNK / Pallas	| Neo Geo MVS	| 					|
| 2020bbh	|  	| 2020 Super Baseball (set 3)				| 2020bb	| 1991	| SNK / Pallas	| Neo Geo AES	| 					|
| md_2020bbj	|  	| 2020 Toshi Super Baseball (Jpn)			| md_2020bb	| 1994	| Electronic Art| Sega Megadrive| 					|
| pce_21emon	|  	| 21 Emon - Mezase Hotel ou!!				| 		| 1994	| NEC Home Elect| PC Engine	| 					|
| 3countb	|  	| 3 Count Bout / Fire Suplex (NGM-043)(NGH-043)		| 		| 1993	| SNK		| Neo Geo MVS	| 					|
| md_3in1fwt	|  	| 3 in 1 Flashback - World Championship Soccer - Tecmo W| 		| 199?	| <unknown>	| Sega Megadrive| 					|
| md_3in1rmb	|  	| 3 in 1 Road Rash - Ms. Pac-Man - Block Out (Pirate)	| 		| 199?	| <unknown>	| Sega Megadrive| 					|
| md_3ninja	|  	| 3 Ninjas Kick Back (USA)				| 		| 1994	| Psygnosis	| Sega Megadrive| 					|
| 4enraya	|  	| 4 En Raya						| 		| 1990	| IDSA		| Miscellaneous	| 					|
| 4in1		|  	| 4 Fun in 1						| 		| 1981	| Armenia / Food| Galaxian	| 					|
| md_4in1pb	|  	| 4 in 1 (Pirate)					| 		| 199?	| <unknown>	| Sega Megadrive| 					|
| 4play		|  	| 4 player input test					| 		| ???	| SNK		| Neo Geo MVS	| 4 player  input test cartridge	|
| 4dwarrio	|  	| 4-D Warriors (315-5162)				| 		| 1985	| Coreland / Seg| System 1	| 					|
| md_6pak	|  	| 6-Pak (USA)						| 		| 1996	| Sega		| Sega Megadrive| 					|
| 600		|  	| 600							| turtles	| 1981	| Konami	| Galaxian	| 					|
| md_688atsub	|  	| 688 Attack Sub (Euro, USA)				| 		| 1991	| Sega		| Sega Megadrive| 					|
| 7ordi		|  	| 7 Ordi (Korea)					| 		| 2002	| Yun Sung	| Miscellaneous	| 					|
| 800fath	|  	| 800 Fathoms						| mariner	| 1981	| Amenip (US Bil| Galaxian	| 					|
| md_bugslife	|  	| A Bug's Life						| 		| 199?	| <unlicensed>	| Sega Megadrive| 					|
| md_bugslifea	|  	| A Bug's Life (Alt?)					| md_bugslife	| 199?	| <unlicensed>	| Sega Megadrive| 					|
| md_dinotale	|  	| A Dinosaur's Tale (USA)				| 		| 1993	| Hi-Tech Expres| Sega Megadrive| 					|
| md_aresshmd	|  	| A Ressha de Ikou MD - Take the 'A' Train (Jpn)	| 		| 1992	| Sega		| Sega Megadrive| 					|
| abcopj	|  	| A.B. Cop (Japan, FD1094 317-0169b)			| abcop		| 1990	| Sega		| X-Board	| 					|
| abcop		|  	| A.B. Cop (World, FD1094 317-0169b)			| 		| 1990	| Sega		| X-Board	| 					|
| ad2083	|  	| A.D. 2083						| 		| 1983	| Midcoin	| Galaxian	| Incomplete Sound			|
| md_aaharima	|  	| Aa Harimanada (Jpn)					| 		| 1993	| Sega		| Sega Megadrive| 					|
| md_aaahhrm	|  	| AAAHH!!! Real Monsters (Euro)				| 		| 1995	| Viacom New Med| Sega Megadrive| 					|
| md_aaahhrmu	|  	| AAAHH!!! Real Monsters (USA)				| md_aaahhrm	| 1995	| Viacom New Med| Sega Megadrive| 					|
| abscam	|  	| Abscam						| puckman	| 1981	| GL (US Billiar| Pac-man	| 					|
| aceattac	|   NW	| Ace Attacker (FD1094 317-0059)			| 		| 1988	| Sega		| System 16B	| 					|
| aceattaca	|  	| Ace Attacker (Japan, System 16A, FD1094 317-0060)	| aceattac	| 1986	| Sega		| System 16A	| 					|
| acrobatm	|  	| Acrobat Mission					| 		| 1991	| UPL (Taito lic| NMK16		| 					|
| actfancrj	|  	| Act-Fancer Cybernetick Hyper Weapon (Japan revision 1)| actfancr	| 1989	| Data East Corp| Miscellaneous	| 					|
| actfancr1	|  	| Act-Fancer Cybernetick Hyper Weapon (World revision 1)| actfancr	| 1989	| Data East Corp| Miscellaneous	| 					|
| actfancr	|  	| Act-Fancer Cybernetick Hyper Weapon (World revision 2)| 		| 1989	| Data East Corp| Miscellaneous	| 					|
| md_action52	|  	| Action 52 (USA)					| 		| 1993	| Active Enterpr| Sega Megadrive| 					|
| md_action52a	|  	| Action 52 (USA, Alt)					| md_action52	| 1993	| Active Enterpr| Sega Megadrive| 					|
| afighter	|  	| Action Fighter, FD1089A 317-0018			| 		| 1986	| Sega		| System 16A	| 					|
| md_ar		|  	| Action Replay (Euro)					| 		| 199?	| <unknown>	| Sega Megadrive| 					|
| md_addfamv	|  	| Addams Family Values (Euro)				| 		| 1994	| Ocean		| Sega Megadrive| 					|
| md_advdaisn	|  	| Advanced Daisenryaku - Deutsch Dengeki Sakusen (Jpn, R| 		| 1991	| Sega		| Sega Megadrive| 					|
